id,edadEmprendedor,sexoEmprendedor,escolaridadEmprendedor,dependientesEconomicos,estadoCivil,familiaAyuda,antiguedadNegocio,horaApertura,horaCierre,giroNegocio,numEmpleados,ventasPromedioDiarias,deseoNegocio,registroVentas,registroContabilidad,altaSAT,usaCredito,tiempoCreditoProveedores,promocionNegocio,latitud,longitud,CategoríaDeseo,,Respuesta Original,Categoría
E00000000,54,H,universidad trunca,3,casado,FALSE,35,9,18,"servicios para el hogar (cerrajería, plomería, jardinería, etc)",3,3500,eficacia,en un cuaderno,en un sistema especial,s,FALSE,no me dan crédito,publicidad exterior|redes sociales (sin pagar)|volantes,19.45344647,-99.1688992,Operación y Personal,,venta,Ventas e Ingresos
E00000001,56,M,universidad terminado,2,viudo,FALSE,37,8,15,comercio minorista de materias primas,3,4500,bodega,en excel,en excel,s,FALSE,no me dan crédito,publicidad exterior|redes sociales (sin pagar),19.48657543,-99.2046679,Expansión y Estructura,,cliente,Clientes y Promoción
E00000002,46,H,secundaria,5,casado,FALSE,19,8,17,comercio minorista de materias primas,2,26250,ampliar negocio,en un sistema especial,en un sistema especial,s,FALSE,una semana,publicidad exterior,19.45180502,-99.19140957,Expansión y Estructura,,vender,Ventas e Ingresos
E00000003,49,H,bachillerato terminado,1,soltero,TRUE,14,11,16,"servicios  personales(estéticas, spa, uñas, barberías, etc)",0,1000,venta,en excel,en excel,s,TRUE,no me dan crédito,publicidad exterior|redes sociales (sin pagar)|otro|volantes,19.45238189,-99.18675447,Ventas e Ingresos,,sucursal,Expansión y Estructura
E00000004,47,H,universidad trunca,3,union libre,FALSE,22,9,20,comercio minorista de materias primas,2,12000,aumentar capital trabajo,en un cuaderno,en excel,s,FALSE,una semana,redes sociales (sin pagar),19.45369488,-99.21019496,Inversión y Producto,,local,Expansión y Estructura
E00000005,43,H,bachillerato terminado,4,union libre,FALSE,53,7,19,comercio minorista de materias primas,2,9000,venta,en un cuaderno,en un sistema especial,s,FALSE,una semana,otro,19.45095836,-99.21549626,Ventas e Ingresos,,mayor venta,Ventas e Ingresos
E00000006,54,M,bachillerato terminado,1,casado,TRUE,30,9,18,comercio minorista de productos terminados,3,4500,capacitacion empleado,en un cuaderno,en excel,s,FALSE,un mes,publicidad exterior|redes sociales (sin pagar),19.44731936,-99.20279039,Operación y Personal,,abundancia,Gestión y Estabilidad
E00000007,67,M,primaria,1,casado,TRUE,25,11,17,comercio minorista de productos terminados,0,900,venta,en un cuaderno,en un cuaderno,o,FALSE,no me dan crédito,publicidad exterior,19.46724579,-99.24272439,Ventas e Ingresos,,prosperidad,Gestión y Estabilidad
E00000008,39,H,bachillerato terminado,2,casado,TRUE,35,8,17,comercio minorista de materias primas,2,5000,venta,en un sistema especial,no registro,o,FALSE,una semana,publicidad exterior|redes sociales (sin pagar),19.45140756,-99.19791867,Ventas e Ingresos,,espacio,Expansión y Estructura
E00000009,38,H,bachillerato terminado,3,casado,TRUE,20,8,20,comercio minorista de materias primas,2,3000,venta,en un cuaderno,en un cuaderno,s,FALSE,no me dan crédito,redes sociales (sin pagar),19.47731577,-99.18669035,Ventas e Ingresos,,aumentar venta,Ventas e Ingresos
E00000010,66,H,primaria,4,casado,TRUE,7,8,16,comercio minorista de materias primas,1,3500,venta,no registro,en un sistema especial,o,FALSE,no me dan crédito,volantes,19.44979601,-99.20142101,Ventas e Ingresos,,crecer,Expansión y Estructura
E00000011,38,H,primaria,6,casado,FALSE,35,7,18,comercio minorista de materias primas,6,3000,venta,en un cuaderno,en un cuaderno,s,FALSE,no me dan crédito,publicidad exterior,19.42730923,-99.2008818,Ventas e Ingresos,,ampliar negocio,Expansión y Estructura
E00000012,47,M,secundaria,3,union libre,TRUE,56,9,19,comercio minorista de materias primas,2,2000,remodelar,no registro,en un sistema especial,o,FALSE,dos semanas,publicidad exterior,19.45433023,-99.20891278,Infraestructura y Expansión,,trabajo,Operación y Personal
E00000013,62,M,primaria,2,casado,FALSE,52,10,20,comercio minorista de productos terminados,2,4000,venta surtido,no registro,en un cuaderno,s,TRUE,no me dan crédito,publicidad exterior|volantes,19.45055373,-99.20162796,Ventas e Ingresos,,crecimiento,Expansión y Estructura
E00000014,52,M,bachillerato trunco,3,union libre,FALSE,20,11,18,comercio minorista de productos terminados,3,5000,maquinario,en un sistema especial,no registro,s,TRUE,una semana,publicidad exterior|volantes,19.44962037,-99.21393481,Inversión y Producto,,ampliar el,Expansión y Estructura
E00000015,61,H,primaria,0,divorciado,TRUE,30,8,20,comercio minorista de productos terminados,2,2000,ampliar,no registro,en un sistema especial,s,FALSE,no me dan crédito,publicidad exterior|redes sociales (sin pagar),19.44707186,-99.19841176,Expansión y Estructura,,abrir sucursal,Expansión y Estructura
E00000016,53,H,bachillerato trunco,1,casado,TRUE,31,9,16,comercio minorista de materias primas,2,3000,venta,no registro,en un cuaderno,o,FALSE,no me dan crédito,publicidad exterior,19.46284119,-99.20272109,Ventas e Ingresos,,seguridad,Operación y Personal
E00000017,50,H,primaria,5,casado,TRUE,8,7,19,fonda o restaurante/alimentos,2,3000,ampliar servicio domicilio,en un sistema especial,en un sistema especial,s,FALSE,un mes,publicidad exterior|redes sociales (sin pagar)|volantes,19.43938706,-99.21323549,Clientes y Promoción,,numero venta,Ventas e Ingresos
E00000018,45,M,secundaria,2,soltero,FALSE,4,9,17,comercio minorista de materias primas,0,2000,venta,no registro,en un cuaderno,o,FALSE,una semana,otro,19.45438685,-99.21317895,Ventas e Ingresos,,negocio,Gestión y Estabilidad
E00000019,63,H,primaria,0,viudo,FALSE,40,10,17,comercio minorista de materias primas,1,4000,remodelar venta,no registro,en un cuaderno,s,TRUE,no me dan crédito,publicidad exterior,19.43204555,-99.19611426,Expansión y Estructura,,incrementar venta,Ventas e Ingresos
E00000020,69,H,primaria,1,casado,FALSE,35,9,18,comercio minorista de productos terminados,0,1000,surtido,no registro,no registro,o,TRUE,una semana,publicidad exterior,19.45988971,-99.19403552,Inversión y Producto,,expandir negocio,Expansión y Estructura
E00000021,45,H,bachillerato terminado,2,casado,FALSE,15,6,20,comercio minorista de productos terminados,3,4000,ventar servicio,no registro,en excel,s,TRUE,una semana,publicidad exterior|redes sociales (sin pagar)|otro,19.44132257,-99.18797863,Ventas e Ingresos,,clientela,Clientes y Promoción
E00000022,52,H,primaria,1,union libre,TRUE,10,8,21,comercio minorista de productos terminados,0,,negocio,en un cuaderno,en un cuaderno,s,FALSE,una semana,publicidad exterior,19.31452627,-99.25067314,Gestión y Estabilidad,,negocio crecer,Expansión y Estructura
E00000023,58,H,bachillerato terminado,2,casado,FALSE,35,8,19,comercio minorista de productos terminados,2,,numero venta,en un sistema especial,en un sistema especial,s,FALSE,un mes,publicidad exterior,19.35323238,-99.25801535,Ventas e Ingresos,,seguir crecer,Expansión y Estructura
E00000024,53,H,bachillerato terminado,2,soltero,TRUE,50,8,22,comercio minorista de productos terminados,2,750,numero venta cliente,en excel,en excel,s,FALSE,dos semanas,publicidad exterior,19.31698217,-99.24319749,Ventas e Ingresos,,prosperar,Gestión y Estabilidad
E00000025,62,H,primaria,0,union libre,FALSE,7,8,20,comercio minorista de materias primas,0,,venta,no registro,no registro,o,FALSE,no me dan crédito,publicidad exterior,19.32123394,-99.26256492,Ventas e Ingresos,,numero cliente,Clientes y Promoción
E00000026,37,H,bachillerato trunco,2,soltero,FALSE,20,10,21,"servicios  personales(estéticas, spa, uñas, barberías, etc)",1,800,cliente,no registro,no registro,n,FALSE,no me dan crédito,redes sociales (sin pagar),19.32028036,-99.2598043,Clientes y Promoción,,mercancia,Inversión y Producto
E00000027,36,H,bachillerato trunco,1,soltero,TRUE,8,9,21,comercio minorista de productos terminados,6,,negocio,en un sistema especial,en un sistema especial,s,FALSE,dos semanas,publicidad exterior,19.32668337,-99.24692669,Gestión y Estabilidad,,mejorar local,Expansión y Estructura
E00000028,61,H,secundaria,3,casado,TRUE,27,9,21,comercio minorista de materias primas,0,500,venta,no registro,no registro,o,FALSE,no me dan crédito,publicidad exterior,19.31066072,-99.27122696,Ventas e Ingresos,,gente,Clientes y Promoción
E00000029,51,M,bachillerato terminado,1,soltero,TRUE,30,8,20,comercio minorista de productos terminados,2,1000,sucursal,en un cuaderno,en un cuaderno,n,FALSE,no me dan crédito,redes sociales (sin pagar),19.31872479,-99.25190126,Expansión y Estructura,,expandir el,Expansión y Estructura
E00000030,40,H,secundaria,1,casado,FALSE,0.5,9,20,fonda o restaurante/alimentos,2,,venta,en un cuaderno,en un cuaderno,o,FALSE,no me dan crédito,publicidad exterior,19.32752528,-99.25946947,Ventas e Ingresos,,credito,Inversión y Producto
E00000031,42,M,bachillerato terminado,3,casado,TRUE,8,9,18,comercio minorista de productos terminados,2,950,ampliacion negocio,en un cuaderno,en un sistema especial,s,FALSE,no me dan crédito,publicidad exterior,19.30264264,-99.21681135,Expansión y Estructura,,vendar,Ventas e Ingresos
E00000032,35,H,secundaria,3,soltero,FALSE,8,9,20,reparación de celulares.,3,,venta negocio,en un cuaderno,en un cuaderno,n,FALSE,no me dan crédito,publicidad exterior|redes sociales (sin pagar),19.31188718,-99.24693491,Ventas e Ingresos,,trabajar,Operación y Personal
E00000033,39,H,universidad terminado,2,casado,TRUE,10,11,20,estampados y publicidad.,1,1700,numero venta cliente,en un cuaderno,en un cuaderno,s,FALSE,una semana,publicidad exterior|redes sociales (sin pagar)|volantes,19.31884405,-99.29613257,Ventas e Ingresos,,mejorar venta,Ventas e Ingresos
E00000034,49,M,universidad trunca,0,viudo,FALSE,5,7,21,"consultorios médicos, dentales, veterinarios",2,,cliente,en excel,en excel,o,FALSE,no me dan crédito,publicidad exterior,19.29980831,-99.25613614,Clientes y Promoción,,inversion,Inversión y Producto
E00000035,50,M,secundaria,3,divorciado,TRUE,15,10,18,"servicios para el hogar (cerrajería, plomería, jardinería, etc)",3,1500,inversion,en un cuaderno,en un cuaderno,s,FALSE,un mes,publicidad exterior,19.32197411,-99.2597146,Inversión y Producto,,expansion,Expansión y Estructura
E00000036,67,M,secundaria,3,viudo,FALSE,20,9,19,comercio minorista de productos terminados,1,1000,seguridad,en un cuaderno,en un cuaderno,s,FALSE,dos semanas,publicidad exterior,19.31229583,-99.26323084,Operación y Personal,,exito,Gestión y Estabilidad
E00000037,47,H,secundaria,1,union libre,TRUE,22,11,20,comercio minorista de productos terminados,0,800,adaptar negocio comercio digital subir venta,en un cuaderno,en un cuaderno,o,FALSE,no me dan crédito,publicidad exterior|redes sociales (sin pagar),19.31782029,-99.25656727,Ventas e Ingresos,,aumento venta,Ventas e Ingresos
E00000038,50,M,bachillerato terminado,0,union libre,TRUE,20,10,20,comercio minorista de productos terminados,2,,venta producto nacional,en excel,en excel,s,TRUE,dos semanas,publicidad exterior,19.32378377,-99.26166483,Inversión y Producto,,seguir tener venta,Ventas e Ingresos
E00000039,33,M,secundaria,1,soltero,TRUE,2,9,18,comercio minorista de productos terminados,1,,venta,en un cuaderno,en un cuaderno,o,FALSE,no contesto,publicidad exterior,19.35266457,-99.25946334,Ventas e Ingresos,,seguir ano,Gestión y Estabilidad
E00000040,52,M,secundaria,2,casado,TRUE,15,11,19,comercio minorista de productos terminados,2,,negocio,en un cuaderno,en un cuaderno,s,FALSE,no me dan crédito,publicidad exterior,19.31137907,-99.26698589,Gestión y Estabilidad,,seguir,Gestión y Estabilidad
E00000041,65,M,bachillerato terminado,1,casado,TRUE,30,9,20,comercio minorista de productos terminados,3,1750,capital inversion,en un cuaderno,en un cuaderno,s,FALSE,no me dan crédito,publicidad exterior|volantes,19.3266071,-99.28233623,Inversión y Producto,,rentable,Ventas e Ingresos
E00000042,37,H,universidad terminado,1,soltero,TRUE,35,7,19,comercio minorista de productos terminados,0,1000,mejor economia venta,en un cuaderno,en excel,s,FALSE,un mes,otro,19.60787986,-99.22619904,Ventas e Ingresos,,remodelar el,Expansión y Estructura
E00000043,50,M,bachillerato terminado,2,soltero,TRUE,10,11,20,"servicios  personales(estéticas, spa, uñas, barberías, etc)",0,500,clientela,no registro,no registro,n,FALSE,un mes,redes sociales (sin pagar)|otro,19.58110804,-99.23280363,Clientes y Promoción,,remodelacion,Expansión y Estructura
